Test ID,Tier,Surface,Module Area,Role,Preconditions,Steps,Input,Expected Result,Expectation Source,Evidence,Invariant Defended,Risk,Actual Result,Status,Evidence Level,Device/Build,Remarks
T1-35,T1,Parent Android,Reply language - Marathi,student/parent (household credential),R0 (T0-01) COMPLETE; app language Marathi,Set app language to Marathi -> ask an attendance question in Marathi -> record the reply language,(attendance question in Marathi),The reply is in Marathi and all 25 UI strings render in Marathi.,A3 Q9,values-mr/strings_assistant.xml,,P2,,NOT TESTED,E2,,
T1-36,T1,Parent Android,Reply language - Gujarati,student/parent (household credential),R0 (T0-01) COMPLETE; app language Gujarati,Set app language to Gujarati -> ask an attendance question in Gujarati -> record the reply language,(attendance question in Gujarati),The reply is in Gujarati and all 25 UI strings render in Gujarati.,A3 Q9,values-gu/strings_assistant.xml,,P2,,NOT TESTED,E2,,
T1-37,T1,Parent Android,Reply language - Telugu,student/parent (household credential),R0 (T0-01) COMPLETE; app language Telugu,Set app language to Telugu -> ask an attendance question in Telugu -> record the reply language,(attendance question in Telugu),The reply is in Telugu and all 25 UI strings render in Telugu.,A3 Q9,values-te/strings_assistant.xml,,P2,,NOT TESTED,E2,,
T1-38,T1,Parent Android,Class and section labels survive translation,student/parent (household credential),R0 (T0-01) COMPLETE; app language Hindi,"In Hindi, ask a timetable question -> record whether the class and section labels (Class 10th / Section A) are TRANSLATED in the reply or left as stored",(timetable question in Hindi),"Class and section labels are left as stored, per SYSTEM_PROMPT:470. A translated label is a FAIL - it will not match anything the parent sees elsewhere in the app.",studentAssistant.js:470,"studentAssistant.js:470,180-181",,P2,,NOT TESTED,E2,,
T1-39,T1,Parent Android + Firestore,Quota increments once per answered question,student/parent (household credential),R0 (T0-01) COMPLETE; Admin SDK read,"Record the starting quota count -> ask five distinct questions, letting each answer arrive -> re-read the count",Five distinct records questions,The count increased by exactly five.,A6 I6 - answered => decremented HOLDS structurally,"studentAssistant.js:483,201-207",I6,P1,,NOT TESTED,E2,,
T1-40,T1,Parent Android,Quota exhaustion message,student/parent (household credential),R0 (T0-01) COMPLETE; a student driven to 30 used,Drive the count to 30 -> ask one more question -> capture the exact message shown,Any question after the 30th,"The user sees ""You've reached today's question limit. It resets tomorrow."" or the server's own text. Record WHICH one is shown - the ViewModel prefers the server's untranslated English.",A3 Q4; AssistantViewModel.kt:103-104; strings_assistant.xml:39,studentAssistant.js:197-200; AssistantViewModel.kt:103-104,I6,P1,,NOT TESTED,E2,,The reset promised here is FALSE by 5.5 hours - see T2-12.
T1-41,T1,Firestore,Quota document key shape,QA operator,R0 (T0-01) COMPLETE; Admin SDK read,"After one question, list assistantQuota and confirm exactly one document exists with the id {schoolId}_{studentId}_{UTC yyyy-mm-dd} and fields schoolId, studentId, day, count, updatedAt","(one question, then a collection read)","The key shape and field set match exactly. The key embeds schoolId, so a mid-day school transfer resets the allowance - see T2-45.",A1 section 3; studentAssistant.js:192-213,studentAssistant.js:192-213,I6,P2,,NOT TESTED,E2,,
T1-42,T1,Firestore,Quota bucket rolls to a new document,QA operator,R0 (T0-01) COMPLETE; two consecutive UTC days,Ask a question on UTC day D -> ask another after the UTC roll on day D+1 -> confirm two separate documents exist and that day D's document is never touched again,(one question per UTC day),Two documents exist; the old one is simply never addressed again. Nothing ever deletes it.,A6 section 3.1 rolled state; A5 D-08 unbounded growth,studentAssistant.js:192-193,I6,P2,,NOT TESTED,E2,,
T1-43,T1,Parent Android,No questions-remaining indicator exists,student/parent (household credential),R0 (T0-01) COMPLETE,Look for any indication anywhere in the app of how many questions remain today -> attempt a client read of the quota document -> inspect the callable response payload for a counter,(inspection),"Confirm and record that NO such indicator is possible: the client cannot read assistantQuota (catch-all deny) and the payload returns no counter, so the student has no warning as they approach the limit.",A6 Q-I4 / A5 Q7 / A10 UX-06,firestore.rules:3355-3357; studentAssistant.js:560-564,I6,P2,,NOT TESTED,E2,,
T1-44,T1,Firestore,One answered question writes one complete log row,QA operator,R0 (T0-01) COMPLETE; Admin SDK read,"Ask one question -> read the newest assistantLogs row -> confirm every field is present: schoolId, studentId, session, role, question, toolsUsed, iterations, ok, usage{inputTokens,outputTokens,cacheReadTokens,cacheWriteTokens}, createdAt","""What homework do I have?""","One row, all fields present, ok:true, toolsUsed containing get_homework.",A1 section 3; studentAssistant.js:620-644,studentAssistant.js:620-644,I7,P1,,NOT TESTED,E2,,
T1-45,T1,Firestore,Question text is truncated at 500 characters,QA operator,R0 (T0-01) COMPLETE,Send a 900-character question -> read the log row -> count the characters stored in the question field,A 900-character question,"The stored question is exactly 500 characters. NOTE THE CONSEQUENCE: an abusive 10,000-character payload is INVISIBLE in the audit trail because of this same cap.",A4 F-11 / A8 F3 - the cap exists on the log but not on the input,"studentAssistant.js:627,489",I7,P2,,NOT TESTED,E2,,
T1-46,T1,Firestore,Usage counters populate,QA operator,R0 (T0-01) COMPLETE,"Ask a question -> read the log row's usage block -> record inputTokens, outputTokens, cacheReadTokens and cacheWriteTokens","""What homework do I have?""","inputTokens, outputTokens and cacheReadTokens carry real values. cacheWriteTokens is STRUCTURALLY ALWAYS ZERO - it is initialised to 0, never assigned anywhere in the file, and written to the row - so it will read as a broken cache to anyone inspecting the logs.",A4 F-13,"studentAssistant.js:529,547-550,635",,P3,,NOT TESTED,E2,,
T1-47,T1,Firestore,toolsUsed omits attempted-but-failed tools,QA operator,R0 (T0-01) COMPLETE; a way to make one tool fail (e.g. remove its index or corrupt the sectionKey),Induce a failure in ONE tool while another succeeds -> ask a question that needs both -> read the log row's toolsUsed array -> compare against what the model actually attempted,"""What homework do I have and what is my timetable?"" with one tool broken","The failed tool is ABSENT from toolsUsed, absent from assistantLogs and renders no chip, while the model narrates the failure text. The audit trail records a turn that used FEWER tools than it attempted. There is no state, log or metric that distinguishes a healthy turn from a turn where every tool failed.","A6 section 2.2 / A4 F-10 - toolsUsed.push sits inside the try, after the await","studentAssistant.js:583-585,596-602",I7,P2,,NOT TESTED,E2,,
T1-48,T1,Parent Android,Back from the assistant lands on Dashboard,student/parent (household credential),R0 (T0-01) COMPLETE,Dashboard -> search -> assistant -> press Back -> record where you land,(Back),"Back lands on Dashboard, not on a stale search box - the search entry navigates with popUpTo(Search){inclusive=true}. This is correct and this row protects it.",A3 M-12 note,"NavGraph.kt:731-736,839",,P2,,NOT TESTED,E2,,
T1-49,T1,Parent Android,Re-entering the assistant yields a fresh screen,student/parent (household credential),R0 (T0-01) COMPLETE; a conversation with at least three turns,Build a three-turn conversation -> press Back -> re-navigate to the assistant via search -> record what the screen shows,(Back then re-enter),"Record whether the transcript survives or the screen is empty. This also determines whether the terminal unavailable state is escapable at all - popping the NavBackStackEntry should clear the ViewModelStore, but that is unverified on this Navigation version.",A3 M-05 / A3 unresolved #2 - REQUIRES DEVICE VERIFICATION,NavGraph.kt:839; AssistantScreen.kt:48,I10,P1,,NOT TESTED,E2,,This is one of the named device-verification items.
T1-50,T1,Parent Android,Rotation preserves the transcript,student/parent (household credential),R0 (T0-01) COMPLETE; a three-turn conversation,"Build a three-turn conversation -> rotate to landscape -> rotate back -> confirm the transcript, the draft text and the scroll position all survive",(rotation),"Nothing is lost. MainActivity declares configChanges for orientation, so it is not recreated at all; even if it were, the ViewModel is scoped to the NavBackStackEntry whose ViewModelStore outlives a configuration change.",A3 Q1(a),AndroidManifest.xml:32; AssistantScreen.kt:48,,P2,,NOT TESTED,E2,,
T1-51,T1,Parent Android,Brief backgrounding preserves the transcript,student/parent (household credential),R0 (T0-01) COMPLETE; a three-turn conversation,Build a conversation -> press Home -> open two other apps -> return within a minute -> confirm the transcript survives,(background and return),"The transcript survives while the process lives. It is held ONLY in a MutableStateFlow - no SavedStateHandle, no rememberSaveable, no disk, no Firestore.",A3 M-09 / Q1(b),AssistantViewModel.kt:32-33; AssistantMessage.kt:5-9,,P2,,NOT TESTED,E2,,Process death is tested in T2-71.
T1-52,T1,Parent Android,Conversation is not persisted and the user is not told,student/parent (household credential),R0 (T0-01) COMPLETE,Build a conversation -> leave the screen -> return -> read all 25 assistant strings and the intro copy -> record whether ANY of them says the conversation is not saved,(reading),Non-persistence is a deliberate privacy choice on a household-shared credential - but NONE of the 25 strings mentions it. Either restore transient session state or tell the user it is transient.,A3 M-09 / Q1,AssistantMessage.kt:5-8; AssistantRepository.kt:17-19; strings_assistant.xml,,P2,,NOT TESTED,E2,,
